,employeenumber,attrition,businesstravel,jobrole,department,joblevel,overtime,remotework,distancefromhome,numcompaniesworked,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,stockoptionlevel
328,329,no,non travel, sales executive ,unknown,2,no,yes,21,1,3,10,5,7,0
329,330,no,travel rarely, sales executive ,unknown,2,no,yes,6,4,4,7,5,7,2
330,331,no,travel frequently, laboratory technician ,unknown,2,no,no,9,3,3,8,4,7,1
331,332,no,non travel, sales executive , sales ,2,no,no,1,7,2,14,8,10,0
332,333,no,travel rarely, manufacturing director ,unknown,3,no,yes,3,1,2,10,7,8,1
333,334,no,non travel, human resources ,unknown,3,no,yes,19,2,1,9,7,1,1
334,335,no,travel rarely, sales executive , sales ,2,no,yes,7,0,2,7,0,5,0
335,336,no,non travel, research scientist , research & development ,1,no,yes,1,1,5,10,2,8,1
336,337,no,non travel, healthcare representative ,unknown,3,no,no,9,1,3,8,7,7,0
337,338,no,non travel, healthcare representative ,unknown,2,no,no,2,1,4,20,11,10,0
338,339,no,non travel, sales executive ,unknown,2,no,yes,10,1,2,10,0,8,0
339,340,no,travel rarely, healthcare representative ,unknown,2,no,yes,1,0,4,9,1,8,0
340,341,no,travel rarely, manufacturing director ,unknown,3,no,no,1,1,3,9,0,7,0
341,342,no,travel rarely, research director ,unknown,3,no,no,3,3,6,7,7,7,0
342,343,no,non travel, sales executive ,unknown,2,no,no,35,2,2,7,1,7,0
343,344,no,travel frequently, manufacturing director ,unknown,3,no,yes,10,1,4,9,1,7,2
344,345,no,non travel, manager ,unknown,5,no,no,1,1,3,22,2,10,1
345,346,yes,non travel, research scientist , research & development ,1,yes,yes,35,7,4,7,3,7,0
346,347,no,non travel, research director , research & development ,3,no,no,8,9,2,8,0,5,1
347,348,no,non travel, sales executive ,unknown,2,no,yes,27,7,2,8,7,7,1
348,349,no,travel rarely, healthcare representative ,unknown,4,no,no,9,7,1,10,1,1,0
349,350,no,travel rarely, sales representative ,unknown,2,no,yes,2,0,3,8,3,1,0
350,351,no,non travel, sales executive ,unknown,3,no,no,8,1,1,10,0,9,0
351,352,no,non travel, healthcare representative ,unknown,2,no,yes,27,4,3,8,1,1,1
352,353,no,non travel, manufacturing director ,unknown,2,no,yes,2,6,2,15,4,12,0
353,354,no,non travel, healthcare representative ,unknown,2,no,yes,13,1,2,8,3,7,1
354,355,no,travel frequently, manager ,unknown,5,no,yes,8,1,4,24,14,9,1
355,356,no,travel rarely, manufacturing director ,unknown,2,no,no,1,0,2,9,0,5,1
356,357,no,travel rarely, research scientist ,unknown,1,no,yes,23,1,3,10,0,7,1
357,358,yes,non travel, sales executive ,unknown,2,no,no,2,4,3,9,7,3,0
358,359,no,non travel, sales executive , sales ,2,no,yes,2,1,2,8,7,5,0
359,360,yes,non travel, research scientist ,unknown,1,no,yes,5,1,2,8,1,7,1
360,361,no,non travel, research scientist ,unknown,1,yes,yes,9,1,0,8,7,1,0
361,362,yes,non travel, laboratory technician , research & development ,1,yes,yes,2,4,1,7,1,0,1
362,363,no,travel rarely, sales representative ,unknown,1,no,no,7,3,2,7,5,2,0
363,364,no,travel frequently, sales executive , sales ,2,no,yes,28,1,2,7,0,7,0
364,365,no,non travel, healthcare representative ,unknown,2,no,no,12,0,2,9,8,5,2
365,366,no,non travel, manufacturing director ,unknown,2,no,no,3,1,2,8,6,3,1
366,367,yes,travel rarely, sales executive ,unknown,3,no,no,3,1,6,16,3,7,1
367,368,no,non travel, laboratory technician ,unknown,2,no,yes,47,1,5,9,0,8,0
368,369,no,travel rarely, sales executive ,unknown,3,no,no,2,0,3,8,0,7,0
369,370,no,non travel, sales executive ,unknown,2,no,yes,8,4,3,7,0,7,2
370,371,no,non travel, manufacturing director ,unknown,3,no,no,7,6,3,8,0,7,1
371,372,no,travel rarely, manufacturing director ,unknown,3,no,yes,17,8,2,10,0,8,1
372,373,no,travel rarely, research director ,unknown,3,yes,yes,8,0,4,8,1,7,3
373,374,no,non travel, manufacturing director ,unknown,2,no,no,2,1,2,8,1,3,0
374,375,no,travel frequently, healthcare representative ,unknown,2,no,yes,18,3,3,8,6,7,2
375,376,no,non travel, sales executive , sales ,2,no,yes,1,0,3,18,0,13,1
376,377,no,non travel, laboratory technician ,unknown,1,no,yes,29,9,2,8,7,7,0
377,378,no,travel frequently, sales executive ,unknown,3,no,yes,2,2,2,15,6,12,1
378,379,no,travel rarely, sales executive ,unknown,2,no,no,26,1,3,7,7,5,1
379,380,no,non travel, manager ,unknown,4,no,yes,2,7,3,9,6,2,0
380,381,yes,non travel, healthcare representative ,unknown,3,no,no,24,1,2,10,1,9,0
381,382,no,travel rarely, research scientist ,unknown,2,no,yes,10,3,4,8,1,7,0
382,383,yes,non travel, sales executive ,unknown,3,no,yes,4,0,2,8,4,7,0
383,384,yes,travel frequently, research scientist , research & development ,2,no,yes,36,1,4,13,3,8,0
384,385,yes,non travel, laboratory technician , research & development ,1,no,yes,4,1,3,7,5,6,1
385,386,no,non travel, sales executive , sales ,3,yes,yes,10,0,2,8,2,7,2
386,387,no,non travel, manufacturing director ,unknown,3,no,yes,12,0,3,9,1,7,3
387,388,no,travel frequently, manufacturing director ,unknown,3,no,no,27,8,1,8,0,1,1
388,389,yes,travel frequently, healthcare representative , research & development ,4,no,no,2,7,4,18,11,5,3
389,390,no,travel rarely, research director ,unknown,5,no,yes,14,1,2,20,4,9,0
390,391,no,travel rarely, manufacturing director ,unknown,2,no,yes,8,1,2,10,1,2,1
391,392,no,non travel, research director ,unknown,3,no,no,32,9,3,18,2,13,0
392,393,no,travel rarely, laboratory technician ,unknown,1,no,yes,3,1,2,8,0,7,1
393,394,no,travel rarely, manufacturing director ,unknown,3,no,yes,2,2,2,7,6,4,1
394,395,no,non travel, manager , research & development ,5,no,no,7,3,6,7,4,7,1
395,396,no,non travel, sales executive ,unknown,2,no,yes,17,3,2,7,1,7,3
396,397,no,non travel, sales executive ,unknown,2,no,yes,25,1,3,10,0,1,1
397,398,no,non travel, laboratory technician , research & development ,1,no,yes,6,1,4,7,1,7,1
398,399,no,travel rarely, laboratory technician ,unknown,2,no,yes,7,1,4,10,8,9,3
399,400,no,non travel, sales executive ,unknown,2,no,yes,29,0,3,11,1,9,1
400,401,no,non travel, research scientist ,unknown,2,yes,no,2,4,2,8,0,7,0
401,402,no,non travel, manufacturing director ,unknown,3,yes,yes,1,2,2,7,7,7,1
402,403,no,travel rarely, research scientist ,unknown,1,no,yes,14,1,3,9,6,8,2
403,404,no,non travel, research director , research & development ,5,no,yes,3,3,2,8,0,7,1
404,405,no,travel rarely, research director ,unknown,4,no,yes,1,3,2,7,1,7,2
405,406,no,non travel, manufacturing director ,unknown,3,no,no,24,6,6,9,5,4,0
406,407,no,travel rarely, sales executive ,unknown,3,no,yes,4,3,3,21,15,17,0
407,408,yes,travel rarely, healthcare representative ,unknown,3,no,yes,15,1,2,10,0,5,1
408,409,yes,non travel, laboratory technician , research & development ,1,yes,yes,7,3,2,7,7,7,2
409,410,no,travel rarely, sales executive ,unknown,2,no,no,8,1,4,10,0,8,2
410,411,no,travel rarely, healthcare representative ,unknown,3,no,yes,10,3,0,7,1,7,0
411,412,yes,non travel, sales executive , sales ,3,yes,yes,5,9,2,8,7,7,0
412,413,no,travel rarely, manufacturing director ,unknown,2,no,yes,33,0,6,8,1,7,0
413,414,no,non travel, healthcare representative ,unknown,3,no,yes,9,0,0,9,1,6,1
414,415,no,non travel, sales executive ,unknown,2,no,yes,2,3,3,7,1,7,1
415,416,no,travel frequently, sales executive , sales ,2,no,yes,12,2,2,15,6,13,1
416,417,no,non travel, laboratory technician ,unknown,2,no,no,1,0,0,9,0,0,1
417,418,yes,non travel, sales executive ,unknown,4,no,yes,13,6,2,19,3,8,0
418,419,no,non travel, laboratory technician ,unknown,2,no,no,29,4,1,8,7,7,2
419,420,no,non travel, research scientist ,unknown,2,yes,no,6,1,3,20,1,8,0
420,421,no,travel rarely, manager ,unknown,4,no,no,10,0,5,20,0,9,1
421,422,no,travel rarely, laboratory technician ,unknown,1,no,yes,7,0,2,7,0,7,0
422,423,yes,non travel, healthcare representative ,unknown,3,yes,yes,14,0,1,8,7,7,0
423,424,no,non travel, research director , research & development ,4,no,no,1,6,3,20,12,7,0
424,425,no,non travel, research director ,unknown,4,no,yes,1,2,4,7,0,0,2
425,426,no,non travel, laboratory technician ,unknown,2,no,yes,9,3,2,8,0,7,2
426,427,no,non travel, sales executive ,unknown,3,no,yes,8,1,5,13,9,9,1
427,428,yes,non travel, sales executive ,unknown,3,no,yes,9,4,1,7,4,3,1
428,429,no,travel rarely, healthcare representative ,unknown,3,yes,no,20,2,2,7,0,7,1
429,430,no,travel rarely, healthcare representative ,unknown,3,no,no,7,3,3,8,0,7,2
430,431,no,travel rarely, sales executive ,unknown,2,no,yes,19,1,3,10,0,4,2
431,432,yes,non travel, research scientist ,unknown,1,no,yes,1,6,2,9,0,7,0
432,433,no,non travel, healthcare representative ,unknown,2,no,yes,8,3,3,7,0,7,1
433,434,no,travel rarely, manager , human resources ,4,yes,yes,6,1,2,21,7,7,0
434,435,no,non travel, sales executive , sales ,2,no,yes,16,8,2,8,7,7,1
435,436,yes,non travel, manufacturing director ,unknown,3,no,yes,2,0,4,33,1,9,1
436,437,no,non travel, research director ,unknown,5,yes,no,7,0,4,22,1,10,1
437,438,no,non travel, laboratory technician ,unknown,2,no,no,5,1,3,10,1,4,0
438,439,no,non travel, sales executive ,unknown,2,no,no,26,1,2,10,4,5,1
439,440,no,travel frequently, manufacturing director ,unknown,2,no,yes,10,1,3,9,7,2,1
440,441,no,non travel, manufacturing director , research & development ,2,no,no,10,2,3,7,7,7,3
441,442,no,non travel, laboratory technician , research & development ,1,no,yes,36,1,3,7,0,7,2
442,443,no,travel rarely, manufacturing director ,unknown,2,no,yes,2,1,3,10,3,9,2
443,444,no,non travel, human resources ,unknown,2,yes,yes,1,4,3,10,0,2,0
444,445,no,non travel, manufacturing director ,unknown,2,no,no,2,1,6,7,0,7,2
445,446,no,non travel, manager ,unknown,4,no,yes,1,4,2,8,0,0,0
446,447,yes,travel frequently, sales representative ,unknown,1,no,no,7,2,3,9,7,7,2
447,448,no,non travel, laboratory technician ,unknown,1,no,yes,7,1,5,7,5,7,0
448,449,no,travel rarely, healthcare representative ,unknown,3,no,yes,2,1,2,8,6,7,1
449,450,no,non travel, sales representative ,unknown,2,no,yes,2,3,2,13,6,7,0
450,451,no,non travel, healthcare representative , research & development ,2,no,yes,13,6,3,10,0,9,0
451,452,no,non travel, manufacturing director ,unknown,2,no,yes,27,2,3,7,0,7,1
452,453,no,travel frequently, research scientist ,unknown,1,no,no,2,0,2,9,0,7,0
453,454,no,non travel, sales executive ,unknown,3,no,yes,15,2,2,7,1,7,1
454,455,no,non travel, sales executive ,unknown,2,no,yes,2,8,2,11,1,7,0
455,456,no,non travel, research scientist ,unknown,1,no,yes,5,2,3,7,0,7,0
456,457,no,travel rarely, human resources ,unknown,1,no,no,2,0,5,9,1,8,0
457,458,no,travel rarely, sales executive ,unknown,2,no,yes,29,1,3,12,5,7,2
458,459,yes,non travel, sales executive ,unknown,2,no,no,27,1,2,10,7,7,0
459,460,no,non travel, manufacturing director , research & development ,2,no,no,2,2,6,7,1,7,1
460,461,no,non travel, manufacturing director ,unknown,3,no,no,10,9,3,7,0,2,0
461,462,yes,travel rarely, healthcare representative ,unknown,2,no,no,19,4,2,9,3,7,1
462,463,no,non travel, sales executive ,unknown,2,no,no,2,4,3,8,5,7,2
463,464,no,travel frequently, sales executive ,unknown,2,no,no,2,1,5,7,7,7,1
464,465,yes,non travel, sales executive ,unknown,3,no,yes,10,5,2,8,0,7,3
465,466,no,travel rarely, manager , research & development ,4,no,yes,1,2,3,19,11,16,1
466,467,no,travel rarely, sales executive , sales ,2,no,no,2,0,5,8,0,7,0
467,468,no,non travel, research director ,unknown,3,no,yes,6,9,3,13,5,7,1
468,469,no,travel frequently, laboratory technician ,unknown,1,no,yes,6,0,3,7,7,7,1
469,470,no,travel frequently, sales executive ,unknown,2,no,yes,1,1,2,7,0,7,1
470,471,no,non travel, research scientist ,unknown,2,no,no,14,8,4,8,1,7,1
471,472,no,travel rarely, sales executive ,unknown,3,no,yes,13,1,2,8,1,1,1
472,473,no,non travel, laboratory technician , research & development ,1,no,yes,1,0,6,7,7,6,0
473,474,no,travel rarely, sales executive ,unknown,2,no,no,9,1,5,7,0,7,0
474,475,yes,travel frequently, sales executive , sales ,2,yes,yes,26,1,4,10,0,8,0
475,476,no,travel frequently, healthcare representative ,unknown,2,no,yes,7,1,2,9,2,8,3
476,477,no,non travel, research director ,unknown,3,no,yes,10,4,2,11,4,8,1
477,478,no,non travel, research scientist ,unknown,2,no,yes,9,1,5,10,0,8,0
478,479,no,travel rarely, healthcare representative ,unknown,2,yes,yes,15,0,6,9,8,1,1
479,480,no,travel rarely, research scientist ,unknown,2,no,no,24,7,2,7,1,7,0
480,481,no,travel rarely, sales executive ,unknown,3,no,yes,46,0,2,9,3,4,2
481,482,no,travel rarely, manufacturing director ,unknown,4,no,yes,28,0,3,20,0,10,1
482,483,no,non travel, sales executive , sales ,2,no,no,28,1,2,8,1,7,2
483,484,no,travel rarely, sales executive ,unknown,2,no,yes,10,1,1,10,1,9,1
484,485,no,travel rarely, healthcare representative ,unknown,3,no,yes,6,4,5,7,1,7,1
485,486,no,travel rarely, research director ,unknown,3,no,no,7,0,4,12,2,11,0
486,487,no,travel rarely, healthcare representative ,unknown,3,no,yes,7,3,4,22,5,17,1
487,488,no,non travel, sales executive ,unknown,2,no,yes,5,4,4,9,0,8,0
488,489,no,travel frequently, manager , research & development ,4,no,no,10,4,2,7,7,7,1
489,490,no,non travel, healthcare representative , research & development ,3,no,no,2,0,1,19,11,8,0
490,491,no,travel rarely, laboratory technician ,unknown,1,yes,yes,2,0,4,9,7,8,1
491,492,no,travel frequently, manager , research & development ,3,no,yes,5,6,2,10,8,8,2
492,493,no,travel rarely, manufacturing director ,unknown,3,no,yes,5,0,5,16,0,13,0
493,494,yes,travel rarely, manager ,unknown,3,no,yes,15,7,2,7,7,7,0
494,495,no,travel rarely, manufacturing director ,unknown,4,no,no,6,7,3,20,5,13,0
495,496,no,travel rarely, manager ,unknown,5,no,no,10,3,2,21,12,6,3
496,497,no,non travel, healthcare representative ,unknown,2,no,no,7,8,2,7,0,7,0
497,498,no,travel rarely, manager ,unknown,4,no,yes,3,1,3,34,1,16,0
498,499,no,travel rarely, manager ,unknown,4,no,no,26,2,2,20,4,17,1
499,500,no,travel rarely, sales executive ,unknown,2,no,yes,2,0,2,7,7,7,1
500,501,no,non travel, manager , research & development ,4,no,no,2,1,3,31,14,7,1
501,502,no,travel rarely, healthcare representative , research & development ,2,no,yes,21,1,2,10,0,7,1
502,503,no,travel rarely, manufacturing director ,unknown,4,no,yes,1,1,3,21,11,8,1
503,504,no,travel frequently, manufacturing director ,unknown,3,no,no,22,1,2,21,2,8,0
504,505,no,non travel, research scientist ,unknown,1,no,no,7,1,3,10,0,8,0
505,506,yes,non travel, human resources , human resources ,3,no,yes,1,9,1,20,3,6,1
506,507,no,non travel, manager ,unknown,4,no,no,2,0,3,22,13,7,1
507,508,no,travel rarely, healthcare representative ,unknown,3,no,yes,7,7,4,8,4,0,0
508,509,no,non travel, human resources ,unknown,1,no,yes,1,1,2,7,5,0,1
509,510,no,non travel, human resources , human resources ,1,no,yes,1,6,3,7,5,7,0
510,511,no,non travel, research scientist ,unknown,2,no,no,4,1,3,9,1,1,0
511,512,no,travel rarely, manufacturing director , research & development ,2,no,yes,29,1,2,8,1,7,2
512,513,no,non travel, research director ,unknown,4,no,yes,28,3,1,20,14,17,1
513,514,no,non travel, research director ,unknown,4,no,no,22,1,2,32,13,9,0
514,515,no,travel rarely, manager ,unknown,5,no,yes,23,1,3,36,2,13,1
515,516,no,non travel, sales executive , sales ,3,no,yes,6,2,3,7,7,6,1
516,517,no,non travel, laboratory technician , research & development ,1,no,yes,13,1,3,9,1,4,1
517,518,no,non travel, research director ,unknown,4,no,no,28,1,2,21,8,6,0
518,519,no,non travel, sales executive ,unknown,3,no,no,2,4,5,10,0,3,1
519,520,no,non travel, research scientist ,unknown,1,no,no,15,0,2,7,7,3,1
520,521,no,travel rarely, manager ,unknown,5,no,yes,2,5,2,22,4,14,0
521,522,no,non travel, sales executive , sales ,2,no,yes,2,2,3,9,0,8,0
522,523,no,travel rarely, laboratory technician ,unknown,2,yes,yes,15,0,3,9,0,8,0
523,524,no,non travel, sales executive ,unknown,2,no,no,12,0,2,9,8,7,0
524,525,no,non travel, manufacturing director ,unknown,2,no,no,1,1,2,7,0,7,1
525,526,no,non travel, manufacturing director ,unknown,2,no,yes,11,1,3,6,0,3,0
526,527,no,non travel, research scientist ,unknown,1,no,yes,29,5,2,6,0,3,0
527,528,no,travel rarely, research scientist ,unknown,1,no,no,15,1,1,6,1,5,0
528,529,no,non travel, manufacturing director ,unknown,2,no,no,1,1,6,6,1,4,1
529,530,no,non travel, sales executive ,unknown,2,no,yes,9,1,1,7,0,7,0
530,531,no,travel frequently, healthcare representative ,unknown,2,no,yes,30,0,4,6,0,4,3
531,532,no,travel rarely, sales executive , sales ,2,yes,yes,2,4,2,6,0,5,0
532,533,no,travel rarely, manufacturing director ,unknown,3,no,yes,47,4,3,6,1,2,0
533,534,no,non travel, sales executive ,unknown,3,no,no,9,1,6,9,7,7,1
534,535,no,travel rarely, manufacturing director ,unknown,2,no,no,1,6,2,6,4,3,1
535,536,no,travel rarely, research scientist ,unknown,1,no,yes,23,1,3,6,1,4,2
536,537,no,non travel, manager ,unknown,5,no,no,3,1,2,32,10,7,1
537,538,no,non travel, research scientist ,unknown,1,yes,yes,1,1,3,6,1,3,1
538,539,no,travel frequently, sales executive ,unknown,2,no,no,3,1,3,6,0,4,2
539,540,no,non travel, sales executive , sales ,2,no,no,42,1,5,6,1,4,0
540,541,no,non travel, sales executive , sales ,2,no,yes,25,1,5,6,1,4,0
541,542,no,non travel, research scientist , research & development ,1,no,yes,2,1,3,6,1,3,0
542,543,no,non travel, manufacturing director ,unknown,3,no,no,7,3,3,8,1,6,0
543,544,no,non travel, research scientist ,unknown,1,no,no,16,1,3,6,1,1,0
544,545,no,non travel, healthcare representative , research & development ,2,yes,yes,1,1,2,6,1,2,1
545,546,no,non travel, research scientist ,unknown,1,no,no,28,4,1,7,1,7,1
546,547,no,travel frequently, research scientist , research & development ,1,no,yes,10,0,2,7,1,1,2
547,548,no,non travel, sales executive ,unknown,2,no,no,9,1,3,6,1,3,0
548,549,no,travel rarely, laboratory technician ,unknown,1,no,no,19,1,2,6,3,3,3
549,550,no,non travel, research scientist ,unknown,1,no,no,2,1,5,10,7,7,1
550,551,no,travel rarely, healthcare representative , research & development ,2,yes,no,11,1,2,6,0,1,0
551,552,no,non travel, research scientist , research & development ,1,yes,no,4,1,2,8,2,2,0
552,553,no,travel rarely, research scientist ,unknown,1,no,yes,1,7,2,6,1,2,1
553,554,no,non travel, laboratory technician , research & development ,1,no,no,5,0,2,6,1,3,0
554,555,no,non travel, research scientist ,unknown,2,no,yes,1,4,3,6,1,2,1
555,556,no,non travel, research scientist ,unknown,2,no,yes,2,0,4,9,1,6,2
556,557,no,non travel, sales executive ,unknown,2,yes,no,16,1,2,6,1,2,1
557,558,yes,non travel, sales executive , sales ,4,no,yes,9,7,3,23,14,10,0
558,559,yes,non travel, sales executive ,unknown,2,yes,no,1,8,0,6,0,5,0
559,560,no,travel rarely, laboratory technician , research & development ,1,no,no,16,0,5,5,0,3,1
560,561,no,travel rarely, research scientist ,unknown,1,no,no,2,0,3,5,0,4,1
561,562,no,travel rarely, research scientist ,unknown,2,no,yes,1,1,3,10,0,9,2
562,563,no,travel rarely, research scientist ,unknown,1,no,no,1,1,3,6,0,4,0
563,564,no,non travel, manufacturing director ,unknown,3,no,yes,13,4,3,6,0,2,0
564,565,no,non travel, sales executive ,unknown,2,no,yes,4,1,3,5,0,4,0
565,566,yes,travel rarely, sales executive ,unknown,2,yes,yes,5,1,1,6,0,3,0
566,567,yes,non travel, research scientist ,unknown,1,no,yes,14,9,2,5,4,3,3
567,568,no,non travel, research scientist , research & development ,1,no,no,6,1,3,5,4,3,0
568,569,yes,non travel, laboratory technician ,unknown,1,no,no,9,7,2,5,0,4,0
569,570,no,travel rarely, research scientist ,unknown,1,no,yes,18,1,4,5,0,4,0
570,571,no,travel rarely, manager ,unknown,5,no,no,11,3,5,5,4,4,0
571,572,no,non travel, research scientist ,unknown,1,no,no,6,3,2,5,1,4,0
572,573,no,travel rarely, sales executive ,unknown,2,no,no,4,4,3,5,0,3,1
573,574,no,non travel, research scientist ,unknown,1,no,yes,7,4,3,5,2,2,3
574,575,yes,non travel, sales executive ,unknown,3,no,yes,27,1,3,10,1,9,3
575,576,no,non travel, manufacturing director , research & development ,2,no,yes,1,0,2,5,1,4,1
576,577,yes,non travel, laboratory technician ,unknown,1,yes,no,14,5,2,5,0,4,1
577,578,yes,non travel, laboratory technician ,unknown,1,no,yes,29,0,2,5,1,4,0
578,579,no,non travel, sales executive ,unknown,2,no,yes,6,4,5,5,0,1,1
579,580,no,non travel, research director , research & development ,5,no,no,4,3,4,10,1,6,2
580,581,no,travel frequently, sales executive ,unknown,4,no,yes,26,5,2,20,4,8,1
581,582,no,non travel, sales executive ,unknown,2,yes,yes,2,1,3,5,0,4,0
582,583,no,non travel, sales executive ,unknown,2,yes,yes,1,0,0,5,1,4,1
583,584,no,travel rarely, manufacturing director ,unknown,2,yes,yes,6,6,3,5,1,2,0
584,585,no,travel rarely, laboratory technician ,unknown,1,no,yes,10,6,3,5,0,3,1
585,586,yes,non travel, sales executive ,unknown,2,yes,yes,22,2,6,6,1,0,2
586,587,no,non travel, manager ,unknown,4,yes,no,2,2,2,5,1,2,0
587,588,yes,travel frequently, research scientist ,unknown,1,no,yes,3,0,2,6,0,4,0
588,589,no,travel rarely, sales executive ,unknown,2,no,yes,2,7,5,5,1,3,2
589,590,no,non travel, sales executive , sales ,2,yes,no,4,1,3,5,1,3,0
590,591,no,non travel, sales executive ,unknown,2,no,yes,12,0,6,5,4,4,0
591,592,no,travel rarely, manufacturing director ,unknown,3,no,no,32,2,4,5,0,4,0
592,593,no,travel frequently, research scientist ,unknown,2,no,no,12,2,3,5,0,2,1
593,594,no,travel rarely, manufacturing director ,unknown,2,no,yes,2,2,2,5,0,2,0
594,595,no,travel rarely, laboratory technician ,unknown,1,no,no,22,0,2,5,4,3,0
595,596,no,travel rarely, manager ,unknown,3,no,yes,7,9,3,5,0,1,1
596,597,no,travel rarely, sales executive , sales ,2,no,yes,1,1,3,5,0,3,0
597,598,no,non travel, sales representative ,unknown,1,no,yes,13,1,1,7,0,6,0
598,599,no,travel rarely, research scientist ,unknown,2,no,no,9,1,2,6,0,5,1
599,600,yes,non travel, sales executive ,unknown,2,yes,no,27,4,2,5,1,3,0
600,601,no,travel frequently, research scientist ,unknown,1,no,yes,5,9,3,5,0,3,1
601,602,no,non travel, sales executive ,unknown,3,yes,no,9,4,2,5,0,2,1
602,603,no,travel rarely, human resources ,unknown,1,no,yes,8,0,3,5,0,3,0
603,604,no,non travel, research scientist ,unknown,1,no,yes,11,3,2,6,0,2,1
604,605,no,travel frequently, sales representative ,unknown,1,no,no,21,5,3,5,0,0,1
605,606,no,travel rarely, human resources ,unknown,2,no,no,2,8,2,5,0,4,2
606,607,no,non travel, sales executive ,unknown,2,no,yes,14,7,6,5,0,3,0
607,608,no,travel rarely, sales executive ,unknown,3,no,no,8,5,2,8,7,7,1
608,609,no,non travel, research director ,unknown,4,no,yes,1,9,1,5,1,3,1
609,610,no,travel rarely, manager , sales ,3,yes,yes,1,3,1,6,0,4,1
610,611,no,non travel, sales executive ,unknown,3,no,yes,2,6,4,9,7,0,1
611,612,no,non travel, research scientist ,unknown,1,no,no,9,2,4,5,0,3,1
612,613,no,non travel, manager ,unknown,4,no,yes,1,2,3,5,2,1,0
613,614,no,non travel, laboratory technician , research & development ,2,no,no,9,9,2,5,0,3,0
614,615,no,travel rarely, human resources ,unknown,1,no,yes,8,1,2,5,1,4,0
615,616,no,travel rarely, sales executive , sales ,2,no,no,4,7,3,6,1,5,0
616,617,yes,non travel, research scientist ,unknown,1,yes,no,10,1,4,6,0,2,0
617,618,no,travel rarely, research scientist ,unknown,1,yes,no,15,0,2,5,1,3,1
618,619,no,non travel, human resources ,unknown,1,no,yes,2,1,2,5,1,4,1
619,620,no,travel frequently, manufacturing director ,unknown,3,no,no,1,7,2,5,1,4,1
620,621,no,non travel, manager , sales ,5,no,yes,4,2,2,11,0,8,1
621,622,no,non travel, manufacturing director ,unknown,2,yes,yes,9,7,3,8,1,7,0
622,623,yes,travel rarely, laboratory technician ,unknown,2,no,yes,7,1,3,10,1,1,1
623,624,yes,non travel, sales executive ,unknown,3,yes,yes,25,2,2,5,1,0,0
624,625,no,non travel, research scientist ,unknown,1,no,yes,26,1,2,5,0,0,3
625,626,no,travel rarely, sales executive , sales ,2,no,no,21,3,2,5,1,4,2
626,627,no,non travel, research scientist ,unknown,1,yes,no,4,7,2,6,1,3,0
627,628,no,non travel, sales executive , sales ,2,no,yes,41,6,2,5,1,2,0
628,629,no,non travel, healthcare representative , research & development ,3,no,no,25,3,2,6,0,5,1
629,630,no,travel rarely, laboratory technician ,unknown,1,no,yes,8,9,2,5,0,4,0
630,631,no,non travel, sales executive ,unknown,2,yes,yes,3,3,3,5,0,1,0
631,632,no,non travel, laboratory technician ,unknown,2,no,yes,47,1,2,10,1,8,0
632,633,no,travel rarely, sales executive ,unknown,2,yes,yes,4,1,3,5,0,3,2
633,634,no,travel rarely, laboratory technician ,unknown,1,no,no,1,5,2,5,0,2,1
634,635,no,non travel, sales executive , sales ,2,no,yes,5,0,4,5,1,3,0
635,636,no,travel rarely, laboratory technician , research & development ,1,no,yes,4,8,5,5,0,2,0
636,637,no,travel rarely, sales executive ,unknown,2,no,yes,14,3,4,5,1,2,1
637,638,yes,non travel, laboratory technician ,unknown,1,no,no,9,3,3,5,1,0,0
638,639,no,travel rarely, research scientist ,unknown,1,no,yes,49,4,3,5,0,3,1
639,640,no,travel rarely, sales executive ,unknown,2,no,yes,9,0,5,8,7,1,0
640,641,no,non travel, healthcare representative ,unknown,2,no,yes,2,1,0,6,1,3,1
641,642,no,non travel, sales executive ,unknown,2,no,yes,14,1,2,5,1,2,1
642,643,no,non travel, laboratory technician ,unknown,1,no,no,27,5,0,6,0,2,1
643,644,no,non travel, research scientist ,unknown,1,no,yes,7,1,3,6,1,1,1
644,645,no,non travel, manufacturing director , research & development ,3,no,yes,2,3,6,5,0,2,1
645,646,no,travel rarely, research scientist , research & development ,1,no,no,10,1,2,8,7,7,1
646,647,no,travel rarely, manufacturing director ,unknown,2,no,yes,12,4,3,5,1,0,0
647,648,no,travel rarely, healthcare representative , research & development ,2,no,yes,11,6,3,5,0,4,1
648,649,yes,travel rarely, laboratory technician ,unknown,1,no,yes,8,1,2,5,1,2,0
649,650,no,non travel, research scientist ,unknown,1,yes,yes,2,0,2,5,1,4,0
650,651,no,travel frequently, manufacturing director ,unknown,2,no,yes,24,2,3,5,1,4,0
651,652,no,travel rarely, laboratory technician , research & development ,1,no,yes,6,1,3,5,0,4,1
652,653,no,non travel, laboratory technician ,unknown,1,no,yes,23,0,2,5,0,3,1
653,654,no,non travel, healthcare representative ,unknown,2,no,yes,12,2,3,7,7,7,1
654,655,no,travel frequently, laboratory technician , research & development ,1,yes,yes,48,0,3,5,0,2,0
655,656,no,non travel, sales executive ,unknown,2,no,yes,8,5,3,5,1,4,1
656,657,no,travel rarely, sales executive ,unknown,2,no,no,15,1,2,10,0,9,0
