,employeenumber,environmentsatisfaction,relationshipsatisfaction,jobsatisfaction,jobinvolvement,performancerating,worklifebalance
771,772,3.0,3,3,3,4,3
772,773,3.0,4,1,3,3,2
773,774,4.0,2,1,3,3,3
774,775,3.0,4,4,3,3,3
775,776,3.0,1,4,3,3,3
776,777,3.0,2,3,3,4,2
777,778,3.0,4,4,3,3,3
778,779,4.0,3,1,3,4,3
779,780,2.0,3,2,3,3,2
780,781,2.0,4,1,3,3,1
781,782,3.0,3,3,3,3,2
782,783,1.0,1,1,3,3,2
783,784,1.0,3,3,3,3,2
784,785,4.0,2,3,2,3,2
785,786,1.0,4,3,2,3,3
786,787,4.0,3,1,3,3,2
787,788,4.0,1,4,3,3,3
788,789,1.0,2,3,3,4,2
789,790,2.0,3,4,3,3,3
790,791,2.0,4,3,3,3,3
791,792,2.0,1,4,2,3,2
792,793,4.0,3,3,3,3,3
793,794,3.0,2,3,3,3,3
794,795,3.0,4,4,1,3,3
795,796,4.0,1,2,2,3,3
796,797,2.0,1,3,4,3,4
797,798,1.0,4,2,3,3,3
798,799,1.0,4,3,3,3,2
799,800,2.0,3,4,3,3,3
800,801,3.0,2,3,2,3,3
801,802,1.0,4,2,4,3,2
802,803,4.0,3,4,3,3,3
803,804,1.0,4,3,4,3,2
804,805,2.0,3,1,3,3,3
805,806,2.0,2,1,1,3,3
806,807,2.0,4,1,3,3,2
807,808,4.0,4,4,3,3,4
808,809,1.0,3,3,2,3,3
809,810,4.0,1,4,3,3,3
810,811,3.0,3,3,3,3,2
811,812,4.0,3,4,2,3,2
812,813,3.0,3,1,3,3,3
813,814,2.0,4,1,3,3,2
814,815,1.0,1,3,3,3,4
815,816,4.0,4,2,3,4,3
816,817,1.0,3,2,3,3,3
817,818,4.0,2,4,3,4,3
818,819,1.0,1,3,3,4,2
819,820,2.0,3,2,3,3,4
820,821,3.0,4,1,3,4,3
821,822,3.0,4,4,2,4,3
822,823,4.0,3,4,2,3,3
823,824,2.0,4,3,4,3,3
824,825,3.0,4,4,3,3,3
825,826,2.0,3,3,1,3,3
826,827,2.0,4,2,3,4,3
827,828,1.0,4,4,1,3,3
828,829,1.0,4,3,2,3,3
829,830,4.0,2,3,3,4,3
830,831,4.0,4,1,3,3,3
831,832,4.0,1,4,3,4,3
832,833,4.0,4,2,3,3,1
833,834,3.0,3,4,3,3,1
834,835,3.0,4,2,3,3,2
835,836,3.0,3,1,3,3,3
836,837,3.0,3,4,3,3,3
837,838,3.0,3,4,3,4,3
838,839,4.0,4,2,3,3,3
839,840,3.0,4,3,2,3,2
840,841,4.0,3,1,4,3,3
841,842,2.0,4,2,3,3,3
842,843,3.0,3,1,2,3,3
843,844,3.0,3,4,3,3,4
844,845,4.0,1,2,4,3,2
845,846,4.0,4,4,2,3,1
846,847,4.0,3,1,3,3,3
847,848,4.0,3,1,3,3,3
848,849,3.0,4,3,3,3,2
849,850,4.0,4,1,3,3,3
850,851,3.0,4,2,2,4,3
851,852,3.0,2,4,2,3,2
852,853,2.0,4,3,3,3,2
853,854,4.0,4,3,2,3,1
854,855,4.0,3,3,3,3,3
855,856,3.0,1,4,3,3,3
856,857,2.0,1,3,3,3,3
857,858,3.0,3,4,2,3,2
858,859,1.0,4,3,4,3,3
859,860,4.0,3,1,4,3,3
860,861,4.0,4,4,3,3,3
861,862,1.0,4,3,3,3,3
862,863,4.0,4,1,2,3,3
863,864,4.0,4,4,3,4,3
864,865,4.0,1,3,2,3,4
865,866,1.0,1,4,3,3,3
866,867,4.0,2,4,3,3,3
867,868,1.0,4,2,3,3,3
868,869,3.0,4,1,3,3,3
869,870,4.0,3,2,3,3,2
870,871,2.0,3,4,3,3,2
871,872,4.0,3,4,3,3,3
872,873,1.0,4,1,2,3,3
873,874,3.0,2,4,3,3,1
874,875,4.0,1,2,2,3,2
875,876,1.0,4,4,1,3,2
876,877,4.0,2,3,3,3,3
877,878,2.0,3,4,2,3,3
878,879,4.0,3,4,3,3,2
879,880,3.0,3,4,3,3,2
880,881,3.0,3,3,3,3,3
881,882,4.0,2,3,3,3,4
882,883,1.0,3,2,2,3,3
883,884,4.0,3,3,3,3,3
884,885,1.0,3,4,3,4,2
885,886,3.0,4,2,2,3,3
886,887,4.0,4,4,3,3,3
887,888,4.0,2,2,3,3,3
888,889,2.0,3,3,2,4,3
889,890,4.0,2,3,3,3,3
890,891,1.0,2,4,4,3,2
891,892,4.0,4,3,3,3,4
892,893,2.0,2,1,3,3,3
893,894,1.0,3,1,3,3,2
894,895,3.0,1,3,3,3,3
895,896,4.0,1,4,3,4,3
896,897,3.0,4,3,3,3,3
897,898,4.0,3,1,2,3,3
898,899,1.0,3,1,3,3,3
899,900,1.0,4,4,3,3,2
900,901,4.0,4,4,3,3,1
901,902,4.0,4,3,1,3,2
902,903,1.0,2,4,3,4,1
903,904,2.0,3,3,2,3,3
904,905,3.0,2,2,2,3,4
905,906,1.0,3,3,3,3,1
906,907,3.0,3,4,2,3,3
907,908,4.0,1,2,3,3,3
908,909,2.0,3,1,3,3,3
909,910,2.0,4,3,3,3,3
910,911,3.0,3,3,2,3,3
911,912,4.0,2,4,3,3,4
912,913,1.0,4,3,3,3,2
913,914,4.0,4,3,4,3,3
914,915,4.0,3,4,3,3,3
915,916,1.0,4,4,2,3,3
916,917,3.0,2,4,3,3,3
917,918,4.0,1,1,2,3,1
918,919,1.0,2,3,2,3,4
919,920,3.0,4,3,3,3,3
920,921,3.0,3,3,3,3,3
921,922,4.0,1,4,3,3,4
922,923,1.0,4,3,3,4,3
923,924,3.0,3,4,3,3,3
924,925,2.0,3,2,2,3,3
925,926,1.0,4,4,2,3,3
926,927,1.0,1,1,4,3,4
927,928,4.0,3,2,4,4,3
928,929,4.0,4,2,4,3,3
929,930,1.0,1,3,3,3,3
930,931,1.0,4,1,3,3,3
931,932,4.0,4,2,3,3,3
932,933,1.0,3,3,1,3,3
933,934,4.0,4,3,3,3,2
934,935,3.0,4,3,4,3,3
935,936,4.0,3,4,2,3,3
936,937,4.0,4,4,2,4,2
937,938,4.0,4,2,3,3,3
938,939,4.0,4,4,3,3,3
939,940,1.0,4,3,4,3,3
940,941,4.0,4,1,3,3,3
941,942,1.0,1,4,1,3,3
942,943,2.0,3,4,4,3,3
943,944,3.0,2,4,3,3,3
944,945,1.0,2,4,3,3,2
945,946,4.0,3,3,1,3,3
946,947,3.0,2,1,3,3,3
947,948,4.0,2,3,3,4,3
948,949,1.0,3,1,3,3,3
949,950,4.0,3,3,4,3,3
950,951,3.0,4,3,3,3,2
951,952,3.0,2,2,3,3,3
952,953,3.0,3,4,2,3,3
953,954,3.0,3,4,3,3,1
954,955,4.0,4,2,3,3,2
955,956,2.0,3,4,3,3,2
956,957,1.0,4,4,2,3,3
957,958,4.0,1,4,2,4,1
958,959,1.0,3,4,4,4,2
959,960,4.0,1,2,3,3,2
960,961,3.0,1,1,2,3,4
961,962,3.0,2,1,3,3,3
962,963,1.0,4,4,2,3,2
963,964,2.0,4,2,2,3,3
964,965,2.0,3,3,2,3,3
965,966,4.0,2,4,3,3,2
966,967,1.0,2,4,3,3,3
967,968,3.0,4,3,2,3,2
968,969,4.0,1,4,2,3,2
969,970,2.0,1,3,3,3,4
970,971,3.0,2,3,3,3,3
971,972,4.0,4,1,3,4,1
972,973,3.0,2,1,2,3,3
973,974,2.0,3,4,3,3,3
974,975,3.0,2,3,3,3,3
975,976,3.0,1,1,2,4,3
976,977,2.0,1,4,3,3,3
977,978,4.0,2,2,3,3,3
978,979,1.0,2,3,3,3,3
979,980,4.0,2,3,2,3,3
980,981,3.0,4,2,2,4,1
981,982,2.0,1,2,3,3,3
982,983,1.0,4,3,2,3,3
983,984,4.0,2,3,3,3,3
984,985,1.0,2,4,3,3,3
985,986,2.0,1,4,3,4,2
986,987,2.0,4,1,1,3,3
987,988,2.0,4,4,2,3,2
988,989,1.0,2,1,3,3,3
989,990,3.0,1,3,3,3,3
990,991,4.0,4,4,3,3,3
991,992,4.0,2,4,3,3,3
992,993,4.0,3,1,3,3,2
993,994,1.0,4,3,1,3,3
994,995,4.0,2,2,3,3,3
995,996,4.0,3,4,2,3,3
996,997,1.0,4,3,3,3,2
997,998,1.0,3,4,3,3,2
998,999,1.0,2,2,2,4,3
999,1000,4.0,3,2,3,3,3
1000,1001,4.0,3,2,2,3,4
1001,1002,3.0,1,4,4,3,3
1002,1003,4.0,4,4,3,3,3
1003,1004,4.0,4,3,3,3,3
1004,1005,1.0,1,1,3,3,3
1005,1006,3.0,3,3,3,3,2
1006,1007,3.0,3,4,2,3,3
1007,1008,4.0,3,3,2,3,3
1008,1009,4.0,2,4,2,3,4
1009,1010,4.0,4,1,3,3,3
1010,1011,1.0,3,3,3,3,3
1011,1012,1.0,1,3,2,3,2
1012,1013,4.0,3,1,3,4,3
1013,1014,4.0,1,2,3,3,3
1014,1015,3.0,3,2,2,4,3
1015,1016,3.0,2,4,2,3,2
1016,1017,1.0,1,4,3,3,3
1017,1018,1.0,3,3,2,4,1
1018,1019,3.0,4,1,3,3,3
1019,1020,4.0,3,3,3,3,2
1020,1021,3.0,4,3,3,3,3
1021,1022,4.0,2,4,2,3,3
1022,1023,4.0,2,1,3,3,2
1023,1024,4.0,4,2,3,3,2
1024,1025,1.0,4,3,3,3,3
1025,1026,3.0,1,1,3,3,3
1026,1027,1.0,1,4,2,3,3
1027,1028,4.0,2,1,3,3,3
1028,1029,3.0,1,2,1,3,3
1029,1030,4.0,1,2,3,3,4
1030,1031,1.0,3,1,3,3,4
1031,1032,3.0,2,3,3,3,3
1032,1033,4.0,3,4,3,3,2
1033,1034,2.0,3,2,3,4,3
1034,1035,4.0,2,2,2,3,2
1035,1036,4.0,2,4,1,4,3
1036,1037,4.0,3,3,3,3,2
1037,1038,4.0,4,3,4,3,3
1038,1039,4.0,4,3,3,3,2
1039,1040,2.0,2,2,3,3,3
1040,1041,4.0,1,4,3,3,2
1041,1042,3.0,1,2,3,3,2
1042,1043,1.0,2,3,4,3,2
1043,1044,4.0,4,4,2,3,3
1044,1045,4.0,4,3,3,3,3
1045,1046,1.0,1,3,3,3,3
1046,1047,3.0,3,4,3,3,3
1047,1048,1.0,2,4,3,3,2
1048,1049,4.0,2,1,3,3,3
1049,1050,1.0,3,2,3,3,4
1050,1051,3.0,1,1,2,3,2
1051,1052,1.0,1,1,2,3,3
1052,1053,1.0,4,1,3,4,4
1053,1054,2.0,1,3,4,3,3
1054,1055,4.0,4,2,4,3,3
1055,1056,2.0,3,4,3,3,1
1056,1057,3.0,1,1,3,3,3
1057,1058,1.0,4,3,3,3,3
1058,1059,3.0,4,3,2,3,3
1059,1060,1.0,2,3,3,3,2
1060,1061,4.0,3,2,3,3,2
1061,1062,1.0,4,3,3,3,4
1062,1063,2.0,2,3,3,3,2
1063,1064,4.0,2,3,3,3,3
1064,1065,3.0,4,1,3,3,3
1065,1066,4.0,1,1,2,4,3
1066,1067,4.0,3,2,3,3,3
1067,1068,3.0,2,4,3,3,4
1068,1069,4.0,1,3,3,3,3
1069,1070,4.0,3,4,3,3,3
1070,1071,3.0,4,4,3,4,2
1071,1072,1.0,4,1,3,3,1
1072,1073,4.0,2,2,3,3,3
1073,1074,3.0,1,2,3,3,3
1074,1075,3.0,4,1,3,3,2
1075,1076,2.0,2,4,3,3,2
1076,1077,2.0,2,2,3,3,4
1077,1078,1.0,3,3,3,3,3
1078,1079,4.0,4,3,4,3,3
1079,1080,1.0,4,1,4,3,3
1080,1081,4.0,2,3,2,3,2
1081,1082,2.0,2,3,2,3,2
1082,1083,2.0,4,4,4,3,3
1083,1084,4.0,4,1,3,3,3
1084,1085,3.0,2,3,3,3,3
1085,1086,3.0,3,4,3,3,3
1086,1087,4.0,3,3,3,3,3
1087,1088,1.0,4,3,3,3,1
1088,1089,3.0,4,4,3,3,2
1089,1090,3.0,2,4,2,4,3
1090,1091,1.0,4,4,1,3,2
1091,1092,2.0,1,3,4,3,3
1092,1093,4.0,3,4,3,3,2
1093,1094,1.0,2,1,3,3,1
1094,1095,3.0,3,3,2,3,3
1095,1096,2.0,3,1,3,3,3
1096,1097,1.0,2,2,3,3,3
1097,1098,3.0,1,3,3,3,3
1098,1099,4.0,3,3,2,3,3
1099,1100,4.0,3,4,3,3,3
1100,1101,4.0,2,1,3,3,2
1101,1102,2.0,3,2,4,3,3
1102,1103,4.0,1,1,3,3,3
1103,1104,1.0,2,3,3,3,2
1104,1105,3.0,1,4,3,3,3
1105,1106,4.0,4,2,2,3,3
1106,1107,3.0,2,4,3,4,3
1107,1108,4.0,3,3,1,3,4
1108,1109,1.0,1,3,3,3,2
1109,1110,2.0,4,3,3,3,4
1110,1111,3.0,2,2,1,3,3
1111,1112,2.0,2,1,3,3,4
1112,1113,2.0,2,1,2,3,3
1113,1114,3.0,3,2,3,3,1
1114,1115,4.0,4,4,3,3,3
1115,1116,3.0,3,4,2,3,2
1116,1117,1.0,3,3,3,3,3
1117,1118,4.0,3,4,3,3,2
1118,1119,2.0,3,2,1,3,3
1119,1120,4.0,4,3,4,3,4
1120,1121,1.0,4,3,2,4,2
1121,1122,4.0,1,4,1,3,3
1122,1123,1.0,4,3,3,3,3
1123,1124,2.0,1,2,2,3,3
1124,1125,2.0,3,2,2,3,3
1125,1126,1.0,3,3,3,3,2
1126,1127,4.0,1,2,4,3,1
1127,1128,1.0,4,1,3,3,3
1128,1129,3.0,3,1,3,4,3
1129,1130,2.0,1,4,1,4,2
1130,1131,1.0,2,3,3,3,3
1131,1132,1.0,4,1,2,3,3
1132,1133,2.0,3,3,3,3,3
1133,1134,3.0,2,4,3,3,3
1134,1135,3.0,3,2,2,3,2
1135,1136,4.0,2,4,3,3,3
1136,1137,2.0,2,4,2,4,4
1137,1138,4.0,2,1,3,3,3
1138,1139,4.0,4,2,2,3,3
1139,1140,4.0,2,1,1,4,3
1140,1141,1.0,4,4,3,3,3
1141,1142,3.0,3,2,2,3,1
1142,1143,3.0,4,4,3,3,3
1143,1144,4.0,3,4,2,3,2
1144,1145,1.0,2,3,4,3,2
1145,1146,2.0,3,3,3,3,3
1146,1147,1.0,3,3,1,3,3
1147,1148,2.0,4,4,3,3,4
1148,1149,3.0,4,1,3,3,3
1149,1150,1.0,2,1,3,3,2
1150,1151,4.0,2,2,3,3,3
1151,1152,3.0,4,1,3,3,3
1152,1153,4.0,3,4,3,3,4
1153,1154,4.0,3,3,3,3,2
1154,1155,1.0,3,3,3,3,3
1155,1156,4.0,3,3,3,3,3
1156,1157,4.0,4,3,3,3,4
1157,1158,3.0,3,2,2,3,3
1158,1159,2.0,2,2,2,3,3
1159,1160,3.0,4,1,3,3,3
1160,1161,4.0,2,2,3,3,3
1161,1162,4.0,2,4,3,3,4
1162,1163,4.0,4,1,3,3,3
1163,1164,3.0,4,3,2,3,3
1164,1165,3.0,4,3,3,3,4
1165,1166,4.0,2,1,2,3,3
1166,1167,4.0,4,3,2,3,3
1167,1168,3.0,3,4,4,3,3
1168,1169,2.0,2,2,4,4,3
1169,1170,3.0,4,4,3,3,3
1170,1171,2.0,4,1,2,3,4
1171,1172,3.0,2,2,3,3,3
1172,1173,3.0,3,4,3,3,3
1173,1174,3.0,4,3,2,3,2
1174,1175,3.0,1,4,3,3,3
1175,1176,2.0,1,4,3,3,3
1176,1177,4.0,1,1,2,3,2
1177,1178,2.0,3,2,4,4,1
1178,1179,4.0,4,2,1,3,3
1179,1180,4.0,4,3,2,3,3
1180,1181,3.0,3,2,2,3,3
1181,1182,1.0,4,2,3,3,3
1182,1183,1.0,3,3,4,3,3
1183,1184,2.0,3,1,3,3,1
1184,1185,1.0,4,1,3,3,3
1185,1186,3.0,3,3,4,3,3
1186,1187,2.0,4,3,3,3,3
1187,1188,2.0,3,1,3,4,3
1188,1189,2.0,4,4,2,3,3
1189,1190,2.0,4,4,3,3,3
1190,1191,2.0,3,3,3,3,3
1191,1192,4.0,4,2,3,3,3
1192,1193,1.0,3,3,2,3,1
1193,1194,3.0,2,4,3,3,3
1194,1195,3.0,2,3,3,3,2
1195,1196,4.0,4,4,4,3,2
1196,1197,3.0,4,3,3,3,3
1197,1198,4.0,4,3,3,3,2
1198,1199,1.0,3,3,3,3,2
1199,1200,3.0,4,3,2,3,3
1200,1201,3.0,4,4,3,3,2
1201,1202,4.0,4,4,2,3,1
1202,1203,3.0,3,1,3,3,3
1203,1204,3.0,4,4,4,3,3
1204,1205,2.0,2,2,2,3,4
1205,1206,1.0,2,2,2,4,4
1206,1207,3.0,4,4,2,3,3
1207,1208,2.0,4,1,3,4,3
1208,1209,2.0,4,4,3,3,4
1209,1210,3.0,3,3,3,3,4
1210,1211,4.0,3,3,3,3,2
1211,1212,3.0,2,1,2,3,3
1212,1213,4.0,1,2,2,3,3
1213,1214,3.0,3,2,3,3,3
1214,1215,4.0,3,4,3,3,4
1215,1216,3.0,2,2,2,3,2
1216,1217,3.0,3,4,3,3,3
1217,1218,4.0,3,1,3,3,2
1218,1219,3.0,4,4,3,3,3
1219,1220,4.0,3,2,3,3,3
1220,1221,4.0,2,4,3,3,2
1221,1222,2.0,4,4,2,4,2
1222,1223,1.0,1,3,4,3,3
1223,1224,3.0,2,4,3,3,3
1224,1225,3.0,1,4,2,3,2
1225,1226,2.0,3,3,2,3,2
1226,1227,4.0,2,3,2,3,3
1227,1228,3.0,1,1,4,3,2
1228,1229,4.0,2,3,3,4,3
1229,1230,4.0,2,4,4,3,2
1230,1231,3.0,4,4,3,3,3
1231,1232,4.0,1,3,2,3,3
1232,1233,4.0,3,4,3,3,4
1233,1234,2.0,1,4,3,3,3
1234,1235,3.0,3,4,3,3,3
1235,1236,4.0,4,1,3,3,3
1236,1237,1.0,3,3,1,3,2
1237,1238,2.0,1,2,3,4,3
1238,1239,4.0,4,4,4,3,3
1239,1240,1.0,4,3,2,3,3
1240,1241,3.0,3,1,2,3,3
1241,1242,4.0,3,3,3,3,3
1242,1243,2.0,3,1,3,3,3
1243,1244,4.0,1,3,2,3,2
1244,1245,2.0,2,4,4,3,3
1245,1246,4.0,2,1,3,3,4
1246,1247,1.0,4,4,3,3,3
1247,1248,3.0,3,1,3,3,3
1248,1249,4.0,4,1,3,3,3
1249,1250,4.0,2,4,2,3,3
1250,1251,3.0,4,4,2,3,4
1251,1252,2.0,3,4,3,3,3
1252,1253,4.0,3,2,2,3,3
1253,1254,1.0,1,4,3,4,3
1254,1255,4.0,4,3,3,3,2
1255,1256,3.0,4,1,3,4,3
1256,1257,2.0,4,2,3,3,3
1257,1258,2.0,3,3,2,3,3
1258,1259,2.0,2,2,2,4,2
1259,1260,3.0,1,1,1,4,3
1260,1261,2.0,3,4,2,4,2
1261,1262,2.0,1,3,2,3,3
1262,1263,4.0,2,3,3,3,3
1263,1264,2.0,2,1,3,3,3
1264,1265,4.0,3,4,3,3,3
1265,1266,3.0,1,4,2,3,3
1266,1267,4.0,3,4,3,3,2
1267,1268,3.0,1,1,3,3,2
1268,1269,3.0,3,4,4,3,3
1269,1270,1.0,2,3,3,3,3
1270,1271,3.0,2,4,3,3,2
1271,1272,1.0,3,3,3,3,1
1272,1273,1.0,2,2,2,3,3
1273,1274,2.0,2,4,2,3,3
1274,1275,1.0,3,1,4,4,3
1275,1276,4.0,4,3,3,4,1
1276,1277,3.0,4,2,3,3,3
1277,1278,3.0,3,3,3,3,3
1278,1279,3.0,4,4,4,3,3
1279,1280,4.0,1,3,2,3,3
1280,1281,4.0,1,3,3,3,2
1281,1282,4.0,1,1,3,3,2
1282,1283,2.0,1,3,3,3,3
1283,1284,1.0,2,4,3,3,3
1284,1285,3.0,3,2,3,3,3
1285,1286,1.0,2,3,3,4,1
1286,1287,1.0,2,4,2,4,3
1287,1288,4.0,2,4,3,3,3
1288,1289,4.0,2,3,3,3,3
1289,1290,3.0,3,3,3,3,4
1290,1291,3.0,4,2,4,3,3
1291,1292,3.0,1,2,3,3,3
1292,1293,3.0,3,4,3,4,3
1293,1294,3.0,4,2,3,3,2
1294,1295,2.0,2,3,2,4,3
1295,1296,3.0,4,1,3,3,3
1296,1297,4.0,3,4,3,4,3
1297,1298,1.0,3,4,2,3,4
1298,1299,1.0,3,4,2,3,2
1299,1300,1.0,3,4,3,3,3
1300,1301,3.0,3,3,3,3,3
1301,1302,4.0,1,3,3,3,3
1302,1303,2.0,4,2,3,3,3
1303,1304,3.0,3,1,1,3,3
1304,1305,1.0,1,3,3,3,3
1305,1306,3.0,2,4,1,3,1
1306,1307,3.0,3,3,3,3,3
1307,1308,4.0,4,2,2,4,3
1308,1309,2.0,3,1,2,3,4
1309,1310,4.0,3,3,3,3,2
1310,1311,4.0,4,2,2,3,4
1311,1312,2.0,3,4,2,3,3
1312,1313,3.0,4,1,3,3,2
1313,1314,3.0,4,3,3,3,3
1314,1315,3.0,3,3,3,4,3
1315,1316,2.0,1,3,3,3,2
1316,1317,4.0,4,3,3,3,3
1317,1318,4.0,3,3,2,3,3
1318,1319,4.0,1,4,4,3,3
1319,1320,3.0,4,3,3,3,3
1320,1321,3.0,3,3,3,3,3
1321,1322,4.0,1,1,3,3,4
1322,1323,4.0,2,3,3,3,1
1323,1324,2.0,3,1,3,3,3
1324,1325,3.0,3,1,4,4,3
1325,1326,3.0,3,2,2,3,3
1326,1327,2.0,4,1,2,3,3
1327,1328,1.0,4,3,2,3,3
1328,1329,3.0,2,4,2,4,2
1329,1330,2.0,4,3,2,3,3
1330,1331,4.0,3,4,3,3,2
1331,1332,4.0,4,3,2,3,3
1332,1333,4.0,2,4,3,3,3
1333,1334,1.0,3,4,3,3,3
1334,1335,4.0,4,2,3,3,3
1335,1336,1.0,3,4,3,4,1
1336,1337,4.0,4,4,2,3,2
1337,1338,1.0,3,2,3,4,4
1338,1339,4.0,1,4,3,3,2
1339,1340,4.0,2,2,3,3,3
1340,1341,3.0,4,2,2,3,3
1341,1342,4.0,1,3,3,3,2
1342,1343,3.0,3,2,2,3,3
1343,1344,3.0,3,2,2,3,3
1344,1345,1.0,2,2,2,3,2
1345,1346,4.0,2,2,2,3,4
1346,1347,1.0,2,1,3,3,3
1347,1348,2.0,1,4,2,3,3
1348,1349,4.0,1,3,3,4,3
1349,1350,2.0,4,2,4,3,2
1350,1351,4.0,3,1,2,4,3
1351,1352,4.0,3,4,3,3,3
1352,1353,2.0,4,4,3,3,3
1353,1354,4.0,1,1,2,3,3
1354,1355,4.0,2,3,3,3,4
1355,1356,1.0,2,4,3,3,3
1356,1357,1.0,1,2,1,3,1
1357,1358,2.0,3,4,3,3,3
1358,1359,1.0,2,3,3,3,2
1359,1360,4.0,2,2,3,4,3
1360,1361,3.0,3,4,2,3,3
1361,1362,3.0,1,1,2,3,2
1362,1363,1.0,3,3,3,3,4
1363,1364,4.0,3,4,2,3,3
1364,1365,1.0,1,2,2,3,3
1365,1366,4.0,4,3,3,3,3
1366,1367,3.0,4,4,2,3,3
1367,1368,4.0,3,2,3,3,3
1368,1369,2.0,1,4,1,3,3
1369,1370,3.0,4,3,3,3,3
1370,1371,2.0,1,4,3,3,3
1371,1372,4.0,2,3,2,3,3
1372,1373,3.0,3,1,3,3,3
1373,1374,3.0,2,4,2,3,3
1374,1375,4.0,4,3,1,3,3
1375,1376,1.0,1,1,2,3,1
1376,1377,2.0,4,2,3,3,3
1377,1378,4.0,1,2,3,3,1
1378,1379,1.0,3,1,3,3,3
1379,1380,1.0,3,3,2,3,4
1380,1381,4.0,3,2,4,3,2
1381,1382,3.0,2,4,3,3,3
1382,1383,4.0,3,4,2,3,4
1383,1384,3.0,4,3,4,3,2
1384,1385,2.0,4,4,4,3,3
1385,1386,4.0,4,3,3,4,3
1386,1387,3.0,4,4,1,3,3
1387,1388,2.0,4,2,4,3,3
1388,1389,2.0,2,3,2,3,2
1389,1390,2.0,3,2,3,4,3
1390,1391,3.0,2,4,4,3,3
1391,1392,4.0,3,4,3,3,4
1392,1393,3.0,3,4,2,3,4
1393,1394,2.0,2,3,1,3,3
1394,1395,1.0,3,2,2,3,4
1395,1396,2.0,2,1,3,3,4
1396,1397,1.0,2,1,2,4,4
1397,1398,1.0,3,3,3,3,2
1398,1399,4.0,2,3,3,3,2
1399,1400,4.0,1,3,3,3,3
1400,1401,2.0,3,1,3,3,2
1401,1402,4.0,3,2,3,3,3
1402,1403,3.0,3,1,2,3,2
1403,1404,1.0,4,3,2,3,1
1404,1405,4.0,1,3,3,3,3
1405,1406,2.0,4,2,3,3,3
1406,1407,3.0,2,2,2,3,3
1407,1408,3.0,1,3,4,3,2
1408,1409,4.0,2,1,2,3,3
1409,1410,4.0,4,1,3,3,3
1410,1411,4.0,3,4,3,3,3
1411,1412,1.0,1,4,3,4,3
1412,1413,2.0,1,3,3,3,3
1413,1414,4.0,3,3,3,3,3
1414,1415,4.0,4,4,2,4,3
1415,1416,3.0,4,4,2,3,2
1416,1417,4.0,2,1,4,3,1
1417,1418,2.0,3,4,3,3,4
1418,1419,1.0,2,2,2,3,2
1419,1420,1.0,1,4,3,3,3
1420,1421,4.0,4,3,3,3,3
1421,1422,4.0,4,3,3,3,3
1422,1423,4.0,1,2,3,3,3
1423,1424,3.0,3,4,1,4,4
1424,1425,4.0,3,3,1,3,3
1425,1426,2.0,2,1,3,3,3
1426,1427,2.0,2,4,3,3,2
1427,1428,3.0,4,2,3,3,1
1428,1429,1.0,2,2,1,3,3
1429,1430,4.0,3,3,1,4,4
1430,1431,4.0,1,4,4,3,3
1431,1432,1.0,3,1,3,4,2
1432,1433,1.0,1,3,3,3,3
1433,1434,4.0,3,1,2,3,3
1434,1435,3.0,3,3,4,3,3
1435,1436,2.0,3,4,1,3,3
1436,1437,3.0,4,3,2,3,3
1437,1438,3.0,2,1,2,3,3
1438,1439,2.0,2,2,3,3,3
1439,1440,3.0,3,1,3,3,3
1440,1441,3.0,3,2,3,3,2
1441,1442,2.0,3,1,4,3,2
1442,1443,2.0,3,3,3,3,1
1443,1444,4.0,3,1,4,3,3
1444,1445,4.0,4,2,3,4,3
1445,1446,4.0,3,4,3,3,4
1446,1447,4.0,4,3,1,3,3
1447,1448,4.0,4,3,3,3,3
1448,1449,4.0,4,2,2,3,3
1449,1450,4.0,2,4,2,3,2
1450,1451,2.0,4,2,3,3,3
1451,1452,2.0,3,4,3,3,2
1452,1453,4.0,1,2,3,4,3
1453,1454,2.0,3,3,2,3,2
1454,1455,2.0,4,1,4,3,3
1455,1456,3.0,4,1,4,3,3
1456,1457,4.0,4,3,3,3,3
1457,1458,4.0,3,1,2,3,3
1458,1459,1.0,4,1,3,4,3
1459,1460,4.0,3,4,3,3,2
1460,1461,2.0,3,4,3,3,3
1461,1462,1.0,1,2,2,3,3
1462,1463,1.0,1,1,2,3,2
1463,1464,4.0,2,4,2,4,3
1464,1465,4.0,3,4,1,3,3
1465,1466,3.0,3,2,3,3,3
1466,1467,1.0,3,4,3,3,2
1467,1468,4.0,3,4,3,3,2
1468,1469,4.0,1,1,3,3,3
1469,1470,3.0,3,4,3,3,3
1470,1471,2.0,2,3,3,4,3
1471,1472,3.0,3,3,3,3,2
1472,1473,1.0,1,1,3,3,2
1473,1474,4.0,4,4,3,3,2
1474,1475,1.0,3,3,3,3,2
1475,1476,2.0,4,4,3,3,3
1476,1477,4.0,3,1,3,3,3
1477,1478,4.0,2,2,3,3,3
1478,1479,3.0,1,4,4,3,2
1479,1480,3.0,2,4,2,3,3
1480,1481,1.0,3,2,2,3,3
1481,1482,2.0,2,1,3,3,1
1482,1483,2.0,2,3,2,3,3
1483,1484,2.0,4,4,2,3,2
1484,1485,1.0,2,1,3,3,3
1485,1486,3.0,1,3,3,3,3
1486,1487,4.0,4,4,3,3,3
1487,1488,4.0,3,2,2,3,4
1488,1489,3.0,1,4,4,3,3
1489,1490,4.0,4,4,3,3,3
1490,1491,4.0,4,3,3,3,3
