,attrition,businesstravel,department,educationfield,gender,jobrole,maritalstatus,over18,overtime,standardhours,roledepartament,remotework
365,No,,,Medical,F, manufacturing director ,Married,,,Full Time,,no
366,Yes,travel rarely,,Life Sciences,M, sales executive ,Married,Yes,,Full Time,,no
367,No,non travel,,,M, laboratory technician ,,,,Part Time,,yes
368,No,travel rarely,,,M, sales executive ,Single,,No,Part Time,,no
369,No,non travel,,Technical Degree,M, sales executive ,Divorced,,No,Part Time,,yes
370,No,,,Medical,M, manufacturing director ,,Yes,,Full Time,,no
371,No,travel rarely,,Technical Degree,F, manufacturing director ,,,,Part Time,,yes
372,No,travel rarely,,,F, research director ,,Yes,Yes,Part Time,,yes
373,No,,,Medical,M, manufacturing director ,Married,,,Full Time,,no
374,No,travel frequently,,Medical,M, healthcare representative ,Married,,,Full Time,,yes
375,No,non travel, Sales ,Life Sciences,F, sales executive ,Married,Yes,,Full Time, sales executive  -  sales ,yes
376,No,non travel,,,F, laboratory technician ,Single,,No,Part Time,,yes
377,No,travel frequently,,Marketing,F, sales executive ,,,,Part Time,,yes
378,No,travel rarely,,,M, sales executive ,Married,,,Part Time,,no
379,No,,,,M, manager ,Single,,No,,,yes
380,Yes,non travel,,,M, healthcare representative ,Single,Yes,No,Part Time,,no
381,No,travel rarely,,Other,F, research scientist ,Single,,No,,,yes
382,Yes,,,Technical Degree,M, sales executive ,,Yes,,Part Time,,yes
383,Yes,travel frequently, Research & Development ,Medical,F, research scientist ,Single,,No,Part Time, research scientist  -  research & development ,yes
384,Yes,, Research & Development ,Technical Degree,M, laboratory technician ,Married,Yes,,Part Time, laboratory technician  -  research & development ,yes
385,No,, Sales ,,M, sales executive ,,,Yes,Part Time, sales executive  -  sales ,yes
386,No,,,,F, manufacturing director ,,,,Part Time,,yes
387,No,travel frequently,,Life Sciences,F, manufacturing director ,Married,,No,Part Time,,no
388,Yes,travel frequently, Research & Development ,Life Sciences,M, healthcare representative ,,,No,Full Time, healthcare representative  -  research & development ,no
389,No,travel rarely,,,M, research director ,,Yes,No,Full Time,,yes
390,No,travel rarely,,Medical,M, manufacturing director ,Married,,,,,yes
391,No,,,,F, research director ,,,No,Full Time,,no
392,No,travel rarely,,,M, laboratory technician ,,Yes,,Part Time,,yes
393,No,travel rarely,,,M, manufacturing director ,Divorced,,No,,,yes
394,No,, Research & Development ,Medical,F, manager ,Divorced,Yes,No,Full Time, manager  -  research & development ,no
395,No,,,Life Sciences,M, sales executive ,,Yes,,Part Time,,yes
396,No,,,Medical,F, sales executive ,,,No,Part Time,,yes
397,No,, Research & Development ,Life Sciences,M, laboratory technician ,Divorced,Yes,No,Part Time, laboratory technician  -  research & development ,yes
398,No,travel rarely,,Life Sciences,M, laboratory technician ,Divorced,,,Part Time,,yes
399,No,,,,M, sales executive ,Divorced,,,,,yes
400,No,,,Life Sciences,F, research scientist ,Single,Yes,Yes,Part Time,,no
401,No,,,Technical Degree,F, manufacturing director ,Divorced,,Yes,Full Time,,yes
402,No,travel rarely,,,M, research scientist ,,,,,,yes
403,No,, Research & Development ,Life Sciences,M, research director ,,Yes,No,Full Time, research director  -  research & development ,yes
404,No,travel rarely,,,F, research director ,Divorced,Yes,No,Full Time,,yes
405,No,,,,M, manufacturing director ,Single,,No,Part Time,,no
406,No,travel rarely,,Marketing,F, sales executive ,Single,,No,Part Time,,yes
407,Yes,travel rarely,,Medical,F, healthcare representative ,Married,Yes,,Part Time,,yes
408,Yes,, Research & Development ,Technical Degree,F, laboratory technician ,Divorced,,Yes,, laboratory technician  -  research & development ,yes
409,No,travel rarely,,,M, sales executive ,Married,,,Full Time,,no
410,No,travel rarely,,Technical Degree,F, healthcare representative ,Married,Yes,No,Part Time,,yes
411,Yes,, Sales ,,M, sales executive ,Single,Yes,Yes,Part Time, sales executive  -  sales ,yes
412,No,travel rarely,,,M, manufacturing director ,Single,,,,,yes
413,No,,,,M, healthcare representative ,,,,Part Time,,yes
414,No,,,Life Sciences,F, sales executive ,,,,,,yes
415,No,travel frequently, Sales ,Marketing,F, sales executive ,,Yes,No,Part Time, sales executive  -  sales ,yes
416,No,,,,F, laboratory technician ,,Yes,No,Part Time,,no
417,Yes,,,,M, sales executive ,,Yes,,Full Time,,yes
418,No,,,,M, laboratory technician ,,Yes,,Part Time,,no
419,No,,,Medical,F, research scientist ,Single,,Yes,Part Time,,no
420,No,travel rarely,,Human Resources,F, manager ,Married,,,Full Time,,no
421,No,travel rarely,,,M, laboratory technician ,Single,,No,Full Time,,yes
422,Yes,,,Other,F, healthcare representative ,Single,,Yes,Part Time,,yes
423,No,, Research & Development ,,F, research director ,,,,Full Time, research director  -  research & development ,no
424,No,,,,M, research director ,Divorced,Yes,No,Full Time,,yes
425,No,non travel,,Other,M, laboratory technician ,,Yes,No,Part Time,,yes
426,No,,,,M, sales executive ,Divorced,,,Full Time,,yes
427,Yes,,,Marketing,M, sales executive ,Divorced,,No,,,yes
428,No,travel rarely,,Medical,M, healthcare representative ,,Yes,Yes,Full Time,,no
429,No,travel rarely,,Life Sciences,M, healthcare representative ,Divorced,Yes,,Full Time,,no
430,No,travel rarely,,,M, sales executive ,,Yes,,Part Time,,yes
431,Yes,,,Technical Degree,M, research scientist ,Single,Yes,No,Part Time,,yes
432,No,,,Other,F, healthcare representative ,,,No,Part Time,,yes
433,No,travel rarely, Human Resources ,,M, manager ,Single,Yes,Yes,Full Time, manager  -  human resources ,yes
434,No,, Sales ,Life Sciences,F, sales executive ,Divorced,,No,Full Time, sales executive  -  sales ,yes
435,Yes,,,,F, manufacturing director ,Married,,,Part Time,,yes
436,No,,,Medical,F, research director ,,,Yes,,,no
437,No,,,,F, laboratory technician ,,Yes,,Full Time,,no
438,No,non travel,,Marketing,M, sales executive ,,Yes,,,,no
439,No,travel frequently,,,M, manufacturing director ,,,,Part Time,,yes
440,No,, Research & Development ,Medical,M, manufacturing director ,,Yes,,, manufacturing director  -  research & development ,no
441,No,, Research & Development ,,M, laboratory technician ,Divorced,,No,Full Time, laboratory technician  -  research & development ,yes
442,No,travel rarely,,,F, manufacturing director ,Divorced,,,,,yes
443,No,,,,M, human resources ,Married,,Yes,,,yes
444,No,,,Life Sciences,M, manufacturing director ,Divorced,,,Part Time,,no
445,No,,,,M, manager ,Single,Yes,,Full Time,,yes
446,Yes,travel frequently,,,F, sales representative ,,,,,,no
447,No,,,Medical,M, laboratory technician ,,,No,Part Time,,yes
448,No,travel rarely,,Life Sciences,F, healthcare representative ,,,,Part Time,,yes
449,No,,,,F, sales representative ,Single,Yes,,Part Time,,yes
450,No,, Research & Development ,,M, healthcare representative ,Single,,No,Part Time, healthcare representative  -  research & development ,yes
451,No,,,Life Sciences,M, manufacturing director ,Married,Yes,,Part Time,,yes
452,No,travel frequently,,,F, research scientist ,,Yes,,,,no
453,No,,,Marketing,M, sales executive ,,,No,Part Time,,yes
454,No,non travel,,Marketing,F, sales executive ,,,No,Part Time,,yes
455,No,,,,M, research scientist ,Single,Yes,No,Part Time,,yes
456,No,travel rarely,,Life Sciences,M, human resources ,,Yes,No,,,no
457,No,travel rarely,,Marketing,F, sales executive ,,,,Full Time,,yes
458,Yes,,,,M, sales executive ,,,,,,no
459,No,non travel, Research & Development ,Medical,M, manufacturing director ,Divorced,,No,, manufacturing director  -  research & development ,no
460,No,,,Medical,F, manufacturing director ,Single,Yes,No,Part Time,,no
461,Yes,travel rarely,,Medical,F, healthcare representative ,Married,,No,,,no
462,No,non travel,,,F, sales executive ,Married,Yes,,Part Time,,no
463,No,travel frequently,,Life Sciences,M, sales executive ,Married,,,Full Time,,no
464,Yes,,,Life Sciences,F, sales executive ,,Yes,,Part Time,,yes
465,No,travel rarely, Research & Development ,,M, manager ,,Yes,,, manager  -  research & development ,yes
466,No,travel rarely, Sales ,,F, sales executive ,Single,Yes,No,Part Time, sales executive  -  sales ,no
467,No,,,Medical,M, research director ,Married,Yes,No,,,yes
468,No,travel frequently,,Other,M, laboratory technician ,Married,,No,Part Time,,yes
469,No,travel frequently,,Life Sciences,M, sales executive ,Married,,,Part Time,,yes
470,No,,,,M, research scientist ,Married,Yes,,Part Time,,no
471,No,travel rarely,,Medical,M, sales executive ,Divorced,,No,Part Time,,yes
472,No,, Research & Development ,Medical,M, laboratory technician ,Single,Yes,No,Part Time, laboratory technician  -  research & development ,yes
473,No,travel rarely,,,M, sales executive ,,,,Part Time,,no
474,Yes,travel frequently, Sales ,Marketing,M, sales executive ,,Yes,Yes,Part Time, sales executive  -  sales ,yes
475,No,travel frequently,,Life Sciences,M, healthcare representative ,Divorced,,,,,yes
476,No,,,,F, research director ,Married,,No,Part Time,,yes
477,No,,,Medical,M, research scientist ,,,No,Part Time,,yes
478,No,travel rarely,,,F, healthcare representative ,Married,,Yes,Part Time,,yes
479,No,travel rarely,,Life Sciences,M, research scientist ,Single,,No,,,no
480,No,travel rarely,,,F, sales executive ,,Yes,No,Part Time,,yes
481,No,travel rarely,,Life Sciences,F, manufacturing director ,Married,Yes,No,Full Time,,yes
482,No,, Sales ,Marketing,F, sales executive ,Married,Yes,No,Full Time, sales executive  -  sales ,no
483,No,travel rarely,,,F, sales executive ,Married,,No,,,yes
484,No,travel rarely,,,M, healthcare representative ,,,,Part Time,,yes
485,No,travel rarely,,,F, research director ,Single,,No,Part Time,,no
486,No,travel rarely,,Medical,F, healthcare representative ,Married,,,Full Time,,yes
487,No,,,,M, sales executive ,Single,Yes,,Part Time,,yes
488,No,travel frequently, Research & Development ,Life Sciences,M, manager ,Divorced,Yes,,Full Time, manager  -  research & development ,no
489,No,, Research & Development ,,F, healthcare representative ,Single,,No,, healthcare representative  -  research & development ,no
490,No,travel rarely,,Medical,F, laboratory technician ,Divorced,,Yes,Part Time,,yes
491,No,travel frequently, Research & Development ,,F, manager ,Married,Yes,,, manager  -  research & development ,yes
492,No,travel rarely,,Technical Degree,M, manufacturing director ,Single,,No,Part Time,,yes
493,Yes,travel rarely,,Medical,M, manager ,Married,,,Part Time,,yes
494,No,travel rarely,,Life Sciences,F, manufacturing director ,Single,,No,Full Time,,no
495,No,travel rarely,,Human Resources,M, manager ,Divorced,Yes,No,Full Time,,no
496,No,,,,F, healthcare representative ,,,No,Part Time,,no
497,No,travel rarely,,Marketing,M, manager ,,,,Full Time,,yes
498,No,travel rarely,,Marketing,F, manager ,Married,,No,Full Time,,no
499,No,travel rarely,,Marketing,F, sales executive ,,,,Part Time,,yes
500,No,non travel, Research & Development ,,M, manager ,Divorced,Yes,,Full Time, manager  -  research & development ,no
501,No,travel rarely, Research & Development ,Life Sciences,F, healthcare representative ,Married,,,Part Time, healthcare representative  -  research & development ,yes
502,No,travel rarely,,,F, manufacturing director ,Married,,No,Full Time,,yes
503,No,travel frequently,,Medical,F, manufacturing director ,Single,,,Part Time,,no
504,No,,,,F, research scientist ,,,No,Full Time,,no
505,Yes,, Human Resources ,Medical,M, human resources ,Married,,No,Full Time, human resources  -  human resources ,yes
506,No,,,Medical,M, manager ,,,No,,,no
507,No,travel rarely,,Life Sciences,M, healthcare representative ,Single,Yes,,Part Time,,yes
508,No,,,,M, human resources ,,,No,Part Time,,yes
509,No,, Human Resources ,Life Sciences,F, human resources ,,,,Part Time, human resources  -  human resources ,yes
510,No,,,Life Sciences,M, research scientist ,Single,,,Part Time,,no
511,No,travel rarely, Research & Development ,Life Sciences,M, manufacturing director ,Married,,,, manufacturing director  -  research & development ,yes
512,No,,,Life Sciences,M, research director ,Married,,No,,,yes
513,No,,,,M, research director ,,,,,,no
514,No,travel rarely,,Marketing,M, manager ,,Yes,No,Full Time,,yes
515,No,, Sales ,,M, sales executive ,Married,Yes,No,Part Time, sales executive  -  sales ,yes
516,No,, Research & Development ,,F, laboratory technician ,,,,, laboratory technician  -  research & development ,yes
517,No,,,Technical Degree,F, research director ,Single,,,,,no
518,No,,,,M, sales executive ,,,,Part Time,,no
519,No,,,,F, research scientist ,Married,,No,Full Time,,no
520,No,travel rarely,,,M, manager ,Married,,,,,yes
521,No,, Sales ,,M, sales executive ,Married,,,Part Time, sales executive  -  sales ,yes
522,No,travel rarely,,Life Sciences,F, laboratory technician ,Single,,Yes,Part Time,,yes
523,No,non travel,,Marketing,M, sales executive ,,Yes,No,Part Time,,no
524,No,,,,M, manufacturing director ,Divorced,,No,,,no
525,No,,,,M, manufacturing director ,Single,Yes,No,Full Time,,yes
526,No,,,,M, research scientist ,Single,,,Full Time,,yes
527,No,travel rarely,,,M, research scientist ,,,No,Part Time,,no
528,No,,,,F, manufacturing director ,,,No,Full Time,,no
529,No,,,Life Sciences,M, sales executive ,Single,Yes,No,Part Time,,yes
530,No,travel frequently,,Technical Degree,F, healthcare representative ,Married,Yes,No,,,yes
531,No,travel rarely, Sales ,Life Sciences,M, sales executive ,,,Yes,Part Time, sales executive  -  sales ,yes
532,No,travel rarely,,,F, manufacturing director ,Single,Yes,,Part Time,,yes
533,No,non travel,,,M, sales executive ,Divorced,Yes,No,Part Time,,no
534,No,travel rarely,,Life Sciences,F, manufacturing director ,Married,,,Part Time,,no
535,No,travel rarely,,Medical,M, research scientist ,,,,Part Time,,yes
536,No,,,,M, manager ,Married,,No,,,no
537,No,,,Life Sciences,M, research scientist ,,,Yes,Full Time,,yes
538,No,travel frequently,,Medical,F, sales executive ,,,,,,no
539,No,, Sales ,,F, sales executive ,Single,Yes,No,Full Time, sales executive  -  sales ,no
540,No,, Sales ,Other,M, sales executive ,Single,Yes,No,Full Time, sales executive  -  sales ,yes
541,No,, Research & Development ,,F, research scientist ,,Yes,,Full Time, research scientist  -  research & development ,yes
542,No,,,Other,M, manufacturing director ,Single,Yes,No,,,no
543,No,,,Medical,F, research scientist ,,,,Part Time,,no
544,No,, Research & Development ,,F, healthcare representative ,Married,Yes,Yes,Full Time, healthcare representative  -  research & development ,yes
545,No,,,Life Sciences,F, research scientist ,Divorced,Yes,No,Part Time,,no
546,No,travel frequently, Research & Development ,,F, research scientist ,Divorced,,No,Part Time, research scientist  -  research & development ,yes
547,No,,,Life Sciences,F, sales executive ,Married,,,Part Time,,no
548,No,travel rarely,,Medical,M, laboratory technician ,Married,Yes,,,,no
549,No,,,Life Sciences,F, research scientist ,Married,Yes,,Part Time,,no
550,No,travel rarely, Research & Development ,,M, healthcare representative ,Married,,Yes,Part Time, healthcare representative  -  research & development ,no
551,No,, Research & Development ,Life Sciences,M, research scientist ,,,Yes,Part Time, research scientist  -  research & development ,no
552,No,travel rarely,,,M, research scientist ,,Yes,No,Full Time,,yes
553,No,, Research & Development ,,M, laboratory technician ,Single,,No,Part Time, laboratory technician  -  research & development ,no
554,No,,,,M, research scientist ,Married,,,,,yes
555,No,,,Medical,M, research scientist ,Divorced,Yes,No,Part Time,,yes
556,No,non travel,,Life Sciences,F, sales executive ,,Yes,Yes,Part Time,,no
557,Yes,, Sales ,,M, sales executive ,Married,,No,Full Time, sales executive  -  sales ,yes
558,Yes,,,,F, sales executive ,,,Yes,Part Time,,no
559,No,travel rarely, Research & Development ,Medical,M, laboratory technician ,Married,,,Part Time, laboratory technician  -  research & development ,no
560,No,travel rarely,,Life Sciences,M, research scientist ,Married,Yes,No,Part Time,,no
561,No,travel rarely,,Life Sciences,M, research scientist ,,Yes,No,Part Time,,yes
562,No,travel rarely,,Medical,M, research scientist ,Single,,No,Part Time,,no
563,No,,,,M, manufacturing director ,,,No,,,yes
564,No,,,Medical,M, sales executive ,,Yes,,Part Time,,yes
565,Yes,travel rarely,,,M, sales executive ,Single,Yes,Yes,,,yes
566,Yes,,,Life Sciences,F, research scientist ,,Yes,,Full Time,,yes
567,No,, Research & Development ,,F, research scientist ,Married,,,Part Time, research scientist  -  research & development ,no
568,Yes,,,Medical,F, laboratory technician ,,,No,,,no
569,No,travel rarely,,Life Sciences,F, research scientist ,Single,,No,Part Time,,yes
570,No,travel rarely,,,F, manager ,,Yes,,,,no
571,No,,,Life Sciences,M, research scientist ,,Yes,No,Part Time,,no
572,No,travel rarely,,,F, sales executive ,,Yes,,,,no
573,No,,,,M, research scientist ,Divorced,,No,Part Time,,yes
574,Yes,,,Marketing,F, sales executive ,Married,,,Part Time,,yes
575,No,non travel, Research & Development ,Medical,M, manufacturing director ,,Yes,,Part Time, manufacturing director  -  research & development ,yes
576,Yes,,,,M, laboratory technician ,Married,,Yes,,,no
577,Yes,,,,M, laboratory technician ,,Yes,No,Part Time,,yes
578,No,,,,M, sales executive ,,,No,,,yes
579,No,, Research & Development ,,M, research director ,Divorced,,No,, research director  -  research & development ,no
580,No,travel frequently,,,F, sales executive ,Married,,,Full Time,,yes
581,No,,,,M, sales executive ,,,Yes,,,yes
582,No,non travel,,Marketing,M, sales executive ,,Yes,Yes,,,yes
583,No,travel rarely,,,M, manufacturing director ,Single,,Yes,Part Time,,yes
584,No,travel rarely,,Medical,F, laboratory technician ,,,No,Part Time,,yes
585,Yes,,,,M, sales executive ,,Yes,Yes,Full Time,,yes
586,No,,,,F, manager ,Single,Yes,Yes,Full Time,,no
587,Yes,travel frequently,,,M, research scientist ,,,,Full Time,,yes
588,No,travel rarely,,Marketing,F, sales executive ,Divorced,Yes,,Part Time,,yes
589,No,, Sales ,,F, sales executive ,Single,Yes,Yes,Part Time, sales executive  -  sales ,no
590,No,,,,F, sales executive ,Single,,No,Part Time,,yes
591,No,travel rarely,,,M, manufacturing director ,Married,Yes,,Part Time,,no
592,No,travel frequently,,,F, research scientist ,,,No,Part Time,,no
593,No,travel rarely,,Life Sciences,F, manufacturing director ,,,No,,,yes
594,No,travel rarely,,Life Sciences,M, laboratory technician ,Single,,No,Full Time,,no
595,No,travel rarely,,,M, manager ,Divorced,Yes,,Part Time,,yes
596,No,travel rarely, Sales ,,F, sales executive ,Single,Yes,,Part Time, sales executive  -  sales ,yes
597,No,,,,M, sales representative ,,Yes,,,,yes
598,No,travel rarely,,,F, research scientist ,Married,Yes,,Full Time,,no
599,Yes,,,Life Sciences,F, sales executive ,,Yes,Yes,Part Time,,no
600,No,travel frequently,,Life Sciences,M, research scientist ,Divorced,Yes,No,Part Time,,yes
601,No,,,Marketing,M, sales executive ,Divorced,,Yes,Full Time,,no
602,No,travel rarely,,Life Sciences,M, human resources ,,,,,,yes
603,No,,,,M, research scientist ,,,,Part Time,,yes
604,No,travel frequently,,Medical,F, sales representative ,Married,,,Full Time,,no
605,No,travel rarely,,Life Sciences,F, human resources ,,Yes,No,Part Time,,no
606,No,,,,F, sales executive ,,,,Part Time,,yes
607,No,travel rarely,,,M, sales executive ,,,No,Part Time,,no
608,No,,,Medical,M, research director ,Divorced,Yes,No,Full Time,,yes
609,No,travel rarely, Sales ,,M, manager ,,,Yes,, manager  -  sales ,yes
610,No,,,Life Sciences,F, sales executive ,Married,Yes,No,Part Time,,yes
611,No,,,Medical,F, research scientist ,Married,,No,Part Time,,no
612,No,,,,M, manager ,Single,Yes,No,Full Time,,yes
613,No,, Research & Development ,Life Sciences,M, laboratory technician ,Single,,No,Part Time, laboratory technician  -  research & development ,no
614,No,travel rarely,,Technical Degree,M, human resources ,,Yes,No,Full Time,,yes
615,No,travel rarely, Sales ,Marketing,M, sales executive ,Single,,No,, sales executive  -  sales ,no
616,Yes,,,,M, research scientist ,Single,,Yes,Full Time,,no
617,No,travel rarely,,,F, research scientist ,Married,Yes,Yes,Part Time,,no
618,No,,,Human Resources,M, human resources ,,Yes,No,,,yes
619,No,travel frequently,,,F, manufacturing director ,,,No,Part Time,,no
620,No,, Sales ,,F, manager ,Married,Yes,,, manager  -  sales ,yes
621,No,non travel,,Medical,F, manufacturing director ,Single,,Yes,Part Time,,yes
622,Yes,travel rarely,,Life Sciences,M, laboratory technician ,,,,Part Time,,yes
623,Yes,,,,M, sales executive ,Single,Yes,Yes,Part Time,,yes
624,No,non travel,,,F, research scientist ,Divorced,Yes,No,Part Time,,yes
625,No,travel rarely, Sales ,,M, sales executive ,Married,Yes,,Part Time, sales executive  -  sales ,no
626,No,,,,M, research scientist ,Married,,Yes,Full Time,,no
627,No,, Sales ,Life Sciences,M, sales executive ,,,,Part Time, sales executive  -  sales ,yes
628,No,non travel, Research & Development ,,M, healthcare representative ,,,No,Part Time, healthcare representative  -  research & development ,no
629,No,travel rarely,,Other,F, laboratory technician ,Married,,No,Part Time,,yes
630,No,,,,F, sales executive ,Single,Yes,Yes,Full Time,,yes
631,No,,,Life Sciences,M, laboratory technician ,Single,Yes,,Part Time,,yes
632,No,travel rarely,,,F, sales executive ,Married,Yes,Yes,,,yes
633,No,travel rarely,,Life Sciences,F, laboratory technician ,,Yes,No,Part Time,,no
634,No,, Sales ,,M, sales executive ,Single,,,Part Time, sales executive  -  sales ,yes
635,No,travel rarely, Research & Development ,Medical,F, laboratory technician ,,,No,Part Time, laboratory technician  -  research & development ,yes
636,No,travel rarely,,Medical,F, sales executive ,Married,,,Part Time,,yes
637,Yes,,,Life Sciences,M, laboratory technician ,Single,,,Part Time,,no
638,No,travel rarely,,Technical Degree,M, research scientist ,,,No,Part Time,,yes
639,No,travel rarely,,,M, sales executive ,,Yes,,Part Time,,yes
640,No,,,Life Sciences,M, healthcare representative ,,Yes,,Full Time,,yes
641,No,,,Life Sciences,F, sales executive ,Married,Yes,No,Part Time,,yes
642,No,,,,M, laboratory technician ,Divorced,,,Full Time,,no
643,No,,,,M, research scientist ,,,No,Part Time,,yes
644,No,, Research & Development ,,F, manufacturing director ,,,,, manufacturing director  -  research & development ,yes
645,No,travel rarely, Research & Development ,,F, research scientist ,Married,,,Full Time, research scientist  -  research & development ,no
646,No,travel rarely,,Medical,M, manufacturing director ,,,No,Part Time,,yes
647,No,travel rarely, Research & Development ,Life Sciences,M, healthcare representative ,Divorced,,No,Full Time, healthcare representative  -  research & development ,yes
648,Yes,travel rarely,,Medical,M, laboratory technician ,Single,Yes,,Full Time,,yes
649,No,,,,M, research scientist ,,,Yes,Full Time,,yes
650,No,travel frequently,,Technical Degree,F, manufacturing director ,Single,Yes,,Part Time,,yes
651,No,travel rarely, Research & Development ,Other,F, laboratory technician ,Married,Yes,No,, laboratory technician  -  research & development ,yes
652,No,,,Medical,M, laboratory technician ,Married,Yes,,Part Time,,yes
653,No,,,,F, healthcare representative ,,,,Part Time,,yes
654,No,travel frequently, Research & Development ,,F, laboratory technician ,Single,,Yes,Part Time, laboratory technician  -  research & development ,yes
655,No,,,,F, sales executive ,,Yes,No,,,yes
656,No,travel rarely,,Marketing,M, sales executive ,Single,Yes,No,Full Time,,no
657,No,,,Life Sciences,M, research director ,Married,,No,,,no
658,No,non travel,,,M, laboratory technician ,,,No,Part Time,,yes
659,No,,,Life Sciences,M, sales executive ,Divorced,Yes,,Full Time,,no
660,No,,,Medical,F, research scientist ,Single,Yes,No,Part Time,,yes
661,No,non travel,,Medical,M, manufacturing director ,,Yes,No,Full Time,,yes
662,Yes,travel rarely,,Life Sciences,M, sales representative ,Single,Yes,No,Part Time,,no
663,No,travel rarely,,Medical,F, research scientist ,,,No,Part Time,,no
664,No,travel frequently,,Life Sciences,F, sales executive ,,,No,Part Time,,no
665,No,, Sales ,Marketing,F, sales executive ,,,,Full Time, sales executive  -  sales ,no
666,No,,,Life Sciences,F, laboratory technician ,Single,,No,Part Time,,yes
667,No,,,Medical,F, research director ,Divorced,,,,,no
668,No,travel frequently,,,F, sales executive ,Single,Yes,No,Full Time,,no
669,No,travel frequently,,Life Sciences,M, healthcare representative ,Married,,No,Full Time,,no
670,No,travel rarely,,Technical Degree,F, research director ,,,No,Full Time,,no
671,No,,,,F, research director ,,,Yes,Full Time,,yes
672,No,non travel,,,F, manager ,Single,,,Full Time,,yes
673,No,,,Life Sciences,M, laboratory technician ,Married,Yes,No,Part Time,,yes
674,No,travel rarely,,Life Sciences,M, sales executive ,,,No,Part Time,,yes
675,No,travel rarely,,,M, laboratory technician ,Single,,No,Part Time,,yes
676,No,travel frequently,,,F, sales representative ,,,No,Part Time,,no
677,No,travel rarely, Research & Development ,,M, healthcare representative ,Divorced,,,Part Time, healthcare representative  -  research & development ,yes
678,No,travel rarely,,Life Sciences,F, sales executive ,Single,,,,,no
679,Yes,travel rarely,,Marketing,F, sales representative ,,,Yes,Part Time,,yes
680,No,,,,F, manufacturing director ,Divorced,Yes,,Part Time,,no
681,No,,,,M, research scientist ,Divorced,Yes,Yes,Full Time,,yes
682,Yes,,,,F, sales executive ,,,,Part Time,,yes
683,Yes,travel rarely,,Medical,M, research scientist ,Single,,,Part Time,,yes
684,No,,,,F, sales representative ,Married,,No,Part Time,,no
685,No,,,Life Sciences,M, healthcare representative ,,,No,,,yes
686,No,,,,M, research director ,Married,,Yes,Full Time,,yes
687,No,, Research & Development ,Medical,M, healthcare representative ,Married,Yes,,Part Time, healthcare representative  -  research & development ,yes
688,No,,,,F, research scientist ,,,No,,,yes
689,No,travel rarely,,Medical,M, healthcare representative ,Single,,,,,yes
690,No,, Research & Development ,Life Sciences,M, healthcare representative ,Divorced,,Yes,Part Time, healthcare representative  -  research & development ,yes
691,No,travel rarely,,,F, research scientist ,Single,Yes,,Part Time,,yes
692,No,travel frequently,,Life Sciences,F, research scientist ,,Yes,,,,no
693,No,travel rarely,,,M, sales executive ,,,,,,yes
694,No,non travel,,Life Sciences,M, sales executive ,,Yes,,Part Time,,yes
695,No,travel rarely,,,M, healthcare representative ,,,No,Full Time,,no
696,Yes,travel rarely,,Technical Degree,F, sales representative ,Single,Yes,Yes,Part Time,,yes
697,No,, Research & Development ,,M, laboratory technician ,,,,Part Time, laboratory technician  -  research & development ,no
698,No,,,,M, research scientist ,,Yes,,Part Time,,yes
699,Yes,travel rarely,,,M, laboratory technician ,Divorced,Yes,No,Full Time,,no
700,No,non travel,,Medical,M, sales executive ,Single,Yes,,Part Time,,yes
701,No,non travel, Sales ,,M, sales executive ,Single,Yes,No,Part Time, sales executive  -  sales ,yes
702,No,travel frequently,,,F, laboratory technician ,Married,Yes,No,Full Time,,yes
703,No,travel rarely,,Marketing,M, sales executive ,Married,Yes,,,,yes
704,Yes,travel frequently, Research & Development ,,F, laboratory technician ,,,,Part Time, laboratory technician  -  research & development ,yes
705,No,, Research & Development ,,F, research scientist ,Divorced,,No,Part Time, research scientist  -  research & development ,yes
706,Yes,travel rarely,,Marketing,M, sales representative ,Divorced,,No,Part Time,,yes
707,Yes,, Sales ,Technical Degree,M, sales executive ,Married,,,Part Time, sales executive  -  sales ,no
708,No,travel rarely,,,M, laboratory technician ,,,No,Part Time,,yes
709,No,travel rarely,,,F, human resources ,,,,Part Time,,no
710,No,non travel,,Medical,M, research scientist ,,Yes,No,Full Time,,yes
711,Yes,,,,M, sales executive ,Single,Yes,No,Part Time,,yes
712,No,,,,F, manufacturing director ,Divorced,,Yes,,,yes
713,No,travel rarely,,Life Sciences,F, research scientist ,Divorced,Yes,Yes,Part Time,,no
714,No,travel rarely, Research & Development ,,M, research director ,,Yes,,Full Time, research director  -  research & development ,no
715,No,,,Life Sciences,F, manufacturing director ,Married,,,Full Time,,no
716,No,travel frequently, Research & Development ,,M, healthcare representative ,,,,, healthcare representative  -  research & development ,no
717,No,travel rarely,,Medical,M, research scientist ,Single,,No,Full Time,,no
718,No,,,,F, research scientist ,Married,Yes,,Part Time,,yes
719,No,,,,M, sales executive ,,,Yes,Part Time,,yes
720,No,,,,F, laboratory technician ,Married,,Yes,,,yes
721,No,,,Human Resources,M, human resources ,Divorced,Yes,Yes,Part Time,,no
722,No,travel rarely,,Medical,F, laboratory technician ,,,No,Part Time,,no
723,No,non travel,,,F, sales executive ,,,Yes,Full Time,,yes
724,No,travel rarely, Research & Development ,,F, laboratory technician ,Divorced,Yes,No,, laboratory technician  -  research & development ,no
725,No,travel frequently,,,F, manufacturing director ,,,No,Part Time,,no
726,No,, Research & Development ,Life Sciences,M, laboratory technician ,,Yes,,, laboratory technician  -  research & development ,yes
